winery,wine,vintage,source
Decoy,Pinot Noir,2020,California
Decoy,Chardonnay,2021,California
Belle Glos,Clark & Telephone Pinot Noir,2020,"California, Santa Maria Valley"
Yes Way Rosé,Yes Way Rosé,2021,France
Raeburn,Chardonnay,2020,"California, Russian River Valley"
Frei Brothers,Chardonnay,2019,"California, Sonoma County, Russian River Valley"
Da Vinci,Chianti,2020,"Italy, Chianti region"
Chloe,Sauvignon Blanc,2021,"New Zealand, Marlborough"
Chloe,Prosecco (extra dry),-,"Italy, D.O.C."
Gascón,Malbec,2020,"Argentina, Mendoza"
Simi,Chardonnay,2020,"California, Sonoma County"
Antinori,Villa Antinori Toscana,2018,"Italy, Tuscany region"
Folie à Duex,Ménage à Trois Silk,2020,California
Apothic,Apothic Red - Winemaker's Blend,2020,California
La Marca,Prosecco (extra dry),-,"Italy, D.O.C."
Charles Smith Wines,Kungfu Girl (Riesling),2021,"Washington, Columbia Valley"
Los Vascos,Sauvignon Blanc,2021,"Chile, Valle de Colchagua"
Silver Mood Winery,Blueberry Red,-,"Ohio, Dover"
Ruffino,Il Ducale Red Blend,2017,"Italy, Toscana Indicazione Geografica Tipica (IGT)"
