winery,wine,vintage,source,year_consumed
Decoy,Pinot Noir,2020,California,2022
Decoy,Chardonnay,2021,California,2022
Belle Glos,Clark & Telephone Pinot Noir,2020,"California, Santa Maria Valley",2022
Yes Way Rosé,Yes Way Rosé,2021,France,2022
Raeburn,Chardonnay,2020,"California, Russian River Valley",2022
Frei Brothers,Chardonnay,2019,"California, Sonoma County, Russian River Valley",2022
Da Vinci,Chianti,2020,"Italy, Chianti region",2022
Chloe,Sauvignon Blanc,2021,"New Zealand, Marlborough",2022
Chloe,Prosecco (extra dry),-,"Italy, D.O.C.",2022
Gascón,Malbec,2020,"Argentina, Mendoza",2022
Simi,Chardonnay,2020,"California, Sonoma County",2022
Antinori,Villa Antinori Toscana,2018,"Italy, Tuscany region",2023
Folie à Duex,Ménage à Trois Silk,2020,California,2023
Apothic,Apothic Red - Winemaker's Blend,2020,California,2023
La Marca,Prosecco (extra dry),-,"Italy, D.O.C.",2023
Charles Smith Wines,Kungfu Girl (Riesling),2021,"Washington, Columbia Valley",2023
Los Vascos,Sauvignon Blanc,2021,"Chile, Valle de Colchagua",2023
Silver Mood Winery,Blueberry Red,-,"Ohio, Dover",2023
Ruffino,Il Ducale Red Blend,2017,"Italy, Toscana Indicazione Geografica Tipica (IGT)",2023
Josh Cellars,Sauvignon Blanc,2021,California,2023
Caymus-Suisun Winery,"The Walking Fool (Red Blend - Zinfandel and Petite Sirah)",2020,"California, Suisun Valley",2023
Juggernaut Wine Co.,Chardonnay,2021,"California, Sonoma Coast",2023
Francis Ford Coppola Winery,Diamond Collection Merlot,2018,California and Oregon,2023
